label,counts,T,F,EM,EV,IF,SF,SY,EM-E,EM-M,EM-P,EV-E,EV-M,EV-P,IF-E,IF-M,IF-P,SF-E,SF-M,SF-P,SY-E,SY-M,SY-P
1,5,1,4,0,1,1,3,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0
2,4,2,2,2,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0
3,5,4,1,0,1,1,3,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0
4,4,2,2,0,1,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
7,5,2,3,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
8,4,3,1,0,3,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
12,5,3,2,1,0,1,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0
13,4,3,1,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
14,4,1,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
15,4,4,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
16,4,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
18,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
19,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
20,5,1,4,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0
21,4,1,3,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
22,4,3,1,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
23,4,2,2,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
24,5,1,4,0,3,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
27,5,1,4,4,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
28,5,2,3,2,1,0,1,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1
30,4,2,2,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
31,4,2,2,4,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
32,5,2,3,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
33,5,3,2,1,0,1,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2
35,4,1,3,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
36,5,4,1,0,3,2,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0
37,5,3,2,1,3,1,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0
38,5,3,2,0,1,4,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
40,4,2,2,0,2,1,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0
43,5,1,4,0,1,3,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0
44,5,0,5,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
45,5,3,2,2,0,0,3,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0
49,4,1,3,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
50,5,2,3,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
54,4,2,2,2,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0
55,5,5,0,1,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
59,4,2,2,0,1,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0
60,5,4,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0
61,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
